custom_id,brand,modelno,title,price,descr,shipweight,dimensions1,dimensions2,dimensions3
1222,tribeca,fva2720,tribeca university of texas 13  breathe sleeve for macbooks,29.98,shock absorbing neoprene storage pockets breathe technology,0.7,14.0,12.4,1.13
1223,iwave,ia300,iwave ia300 universal car holder for gps and ipod iphone,19.99,secure vacuum base attaches easily to any windshield flexible gooseneck allows for infinite angle adjustments extra firm construction absorbs vibration for stable viewing,1.0,6.0,5.0,3.0
1224,siig,jusa0b12s1,siig 3.5  sata superspeed usb 3.0 hard drive enclosure pro,41.39,adds up to 2tb extra storage data transfer rate 5gbps built-in cooling fan,2.45,10.6,6.9,4.4
1225,vantec,nst400mxsr,vantec nexstar mx dual 3.5  dual bay external hard drive enclosure with jbod raid 0 1,100.21,supports dual sata i ii hard drives up to 4tb data transfer rate up to 480mbps usb 2.0 up to 3gbps esata front ventilation and rear fan,4.5,10.0,7.0,6.0
1226,vantec,nstd100s2,vantec nexstar 2.5  sata to usb 2.0 hard drive dock,24.2,supports 2.5  sata i ii hard drives up to 2tb data transfer rates 480mbps eject button,2.2,8.0,7.0,3.5
1227,sony,dsct110r,sony cyber-shot dsc-t110 16mp digital camera red w 4x optical zoom hd movie capture 3.0  touchscreen lcd w 50 bonus prints,219.99,3.0  touch screen sweep panorama mode hd movie mode,2.0,8.0,6.0,3.0
1228,sony,dscwx9b,sony cyber-shot dsc-wx9 16mp compact camera black w 5x optical zoom low-light performance 2.7  lcd w 50 bonus prints,219.0,exmor r cmos sensor 3d still image and 3d sweep panorama mode fast capture,2.0,8.0,6.0,3.0
1229,sony,dsct110v,sony cyber-shot dsc-t110 16mp digital camera violet w 4x optical zoom hd movie capture 3.0  touchscreen lcd w 50 bonus prints,219.99,3.0  touch screen sweep panorama mode hd movie mode,2.0,8.0,6.0,3.0
1230,tribeca,fva3437,michigan wolverines iphone 4 case silicone cover,24.99,this michigan wolverines iphone 4 case silicone skin is made of durable silicone and feels as good as it looks. the logo is laser  screen officially licensed by the ncaa,0.0,0,0,0
1231,maxell,665107,maxell mygen usb 4gb auto photo backup,26.88,capacity 4gb automatically recognizes and copies files slider design,9.5,7.9,6.7,2.9
1232,vizio,e421vl,vizio 42  class lcd 1080p 120hz hdtv e421vl,548.0,42.02  diagonal screen size hdmi inputs 3 wall mountable with detachable base stand srs truvolume and srs trusurroundhd,32.85,45.1,32.2,7.36
1233,case logic,ifol202black,case logic ifol-202black thin folio case with form fit mount black,49.88,4 vertical viewing angles 4 horizontal viewing angles detachable piece for in-hand viewing gaming,1.0,9.8,8.0,0.3
1234,acd systems,acdcd70845wi,acd systems acdsee pro 4-box full version,239.99,take control of all your digital image assets browse instantly streamline digital asset management,0.05,7.4,5.4,1.3
1235,ge,50246,ge door stop alarm,9.24,sounds 120 decibel alarm when activated,0.39,5.916,1.898,1.81
1236,mobile edge,mecme3,mobile edge eco-friendly canvas messenger bag navy,39.0,a dedicated padded computer compartment keeps your laptop protected while separate sections for files folders magazines and accessories keep your gear organized and at your fingertips,2.1,17.5,13.0,4.25
1237,royal consumer,29160j,royal px70mx paper shredder,69.99,shred type cross cut sheet shred capacity 7 per pass,8.75,14.3,14.1,9.5
1238,hp,q2429a,hp q2429a maintenance kit,234.54,compatible hp models laserjet 4200dtns 4200dtnsl  color black  maximum yield per unit 200 000 pages,5.1,17.75,10.5,9.5
1239,microsoft,egc00001,microsoft egc-00001 flight simulator x gold edition,28.54,platform support pc  esrb rating e10  everyone 10 and older single or multiplayer,0.48,6.75,4.73,1.04
1240,amd,100505533,amd 100-505533 firemv 2260 graphics card,129.82,host interface pci express x16  maximum resolution 2560 x 1600  maximum resolution 2560 x 1600,1.4,6.61,2.592,2.28
1241,visioneer,prw120wu,visioneer prw120-wu roadwarrior patriot sheetfed scanner,249.98,32 bit color  compatibility windows 2000 service pack 4 is required on windows 2000 windows xp and windows vista  1.5,1.82,11.4,2.0,1.5
1242,sharpie,32701,sharpie retractable permanent markers fine point set of 12 black,13.64,seal valve design prevents dry out fine retractable point no cap to lose,0.35,6.37,3.37,1.25
1243,gear head,mp2800blk,gear head 2.4ghz wireless optical nano mouse black,15.82,optical sensing technology automatic wireless synchronization 2.4ghz wireless nano receiver,7.0,3.9,2.3,1.5
1244,draper,127164,draper diamondscreen rear projection screen with system 200 black frame - 133 diagonal hdtv format,28172.7,the first rear projection screen designed specifically for video and data projection this screen is well suited for most a v applications except those with large vertical viewing cones. this rear screen delivers a brilliant image and unlike most conventional rear screens the diamondscreen is cast molded and derives its incredible optical performance from its patented fresnel lenticular lens system. with its superior center-to-corner brightness ratio this is the world s most sophisticated most efficient rear projection screen.,462.0,0,0,0
1245,belkin,f8z414,belkin ac charger with swivel plug   usb sync cable for iphone,21.78,rotating design ensures user can charge iphone or ipod even in crowded outlets folding prongs make charger easy to carry includes usb sync cable,0.35,6.4,5.1,1.7
1246,simplism,trpfipd2agen,protector film for ipad 2 anti-glare,14.99,anti-glare film for ipad 2 high-quality anti-scratch film non-adhesive film that can be applied repeatedly,0.2,9.3,7.1,0.1
1247,i-tec electronics,t6020,i-tec ipad anti-glare screen protector,17.88,anti-glare visual clarity protects screen from damage quick and easy stick-on,0.3,11.25,8.0,0.13
1248,targus,apd0401us,targus universal usb car charger,31.88,charge usb devices including a tablet ipad cell phone and more small and lightweight use in your car,0.17,6.0,4.0,1.04
1249,,75406,advantus premier heavy-duty retractable id card reel 24  extension black chrome 12 box,60.94,retractable 24  cord attaches to any id card or name badge steel cord with plastic coating,0.615,0,0,0
1250,jwin,isp210blu,jwin port amplified stereo speaker case for ipad blue,62.88,portable speaker case with high quality stereo sound ideal for tablets in the market including the ipad complete zipper case offers effective portability and stylish protection,21.0,10.9,9.01,1.7
1251,roocase,219534,roocase 3-in-1 kit - smart case leather cover for ipad 2,59.99,roocase 3-in-1 kit - smart case leather cover for ipad 2 this roocase kit includes leather case features a front cover that can fold into stand for keyboard and video view flap closure sleep and wake ipad 2 ultra responsive capacitive stylus and a anti-glare screen protector plush top grain leather with soft microfiber interior front cover folds into keyboard and video stand magnetic flap closure that wake sleep ipad 2 access to all ports and controls  stylus lightweight aluminium pen body that weighs in at only 0.4 oz stylus length 114mm conevenient cap attachment to 3.5mm audio jack clip can attach to shirt or pants pocket anti-glare and anti-fingerprint matte screen protector that reduces glare and smudges over 70 self-adhering japanese pet film,1.0,8.8,7.7,0.7
1252,diamond,5450pe3512sb,diamond radeon hd 5450 pci-e 512mb ddr3 graphics card,46.88,engine clock speed 650mhz memory data rate 1.6gbps gddr3 max board power 19.4w,0.75,9.7,6.1,1.6
1253,samsung,60270705,samsung 60-2707-05 samsung galaxy tab multimedia dock,37.88,charge and sync 1080p hdmi output 3.5mm stereo line-out,0.4,6.4,4.3,1.5
1254,scotch,c38bk,scotch weighted desktop tape dispenser,7.9,designed to hold tapes 1 2  wide non-skid base handy dispenser for desktop tape,1.055,0,0,0
1255,,24532b,quality park double window security tinted invoice   check envelope white,72.94,white double window security tinted envelope blue security tinting wove finish,12.0,0,0,0
1256,case logic,154701,case logic 10.2,18.39,case logic 10.2  screen and accompanying accessories. place your power cord or traveling mouse in the designated compartment and expansion slits reveal a touch of complementary color.  attach designed to hold ipad and netbooks with up to 10.2 screens expansion slits display a touch of complementary color front pocket expands to comfortably carry power cords a mouse or other accessories designated pouch keeps your usb drive securely in place and easy to locate multiple carrying options - shoulder strap converts to carrying handle with two simple straps slimline design allows for attach to slip into a larger bag for longer trips available in asia pacific canada europe latin america us,0.71,11.0,8.0,2.5
1257,netgear,wn604100nas,netgear wireless-n 150 access point wn604,55.88,ieee 802.11n draft wireless transmission speed 150mbps 4 x fast ethernet port,1.4,9.3,9.1,2.5
1258,da-lite,27503,da-lite da-plex unframed rear projection screen - 84 x 84 av format,3561.99,features -diffusion coatings are available for all types of applications with any size screen and a wide range of viewing angles. .-diffusion coating is permanently bonded to the substrate. cannot peel off like laminated film or vinyl based diffusion screens. .-two substrates offered da-plex acrylic substrate and da-glas glass substrate .,342.0,0,0,0
1259,da-lite,82973,da-lite video spectra 1.5 model c manual screen - 78 x 139 hdtv format,787.99,features -ideal for large size conference or training rooms..-permanently lubricated steel ball bearings combined with nylon bushings and heavy-duty spring assembly offers smooth operation even in demanding applications..-optional floating mounting brackets allow the model c to be mounted onto wall or ceiling studs and aligned left or right after installation by releasing two sets of screws..-pull cord included.. screen material video spectra 1.5 this screen surface is specially designed with a reflective coating which provides an increased amount of brightness with a moderately reduced viewing angle. the increased gain of this surface makes it suitable for environments where ambient lighting is uncontrollable and a projector with moderate light output is utilized. flame retardant and mildew resistant. viewing angle 35  gain 1.5,69.0,0,0,0
1260,everki,everki ekf808s18,everki commute 18.4  laptop sleeve with memory foam ekf808s18,39.0,accommodates up to 18.4  laptops advanced memory foam padding to guard against bumps soft felt inner lining helps prevent scratches,1.45,18.7,13.58,1.97
1261,netgear,gs108pe100nas,netgear prosafe plus 8-port gigabit ethernet switch with poe,247.5,build multiple network groups monitor network traffic power-over-ethernet poe support on first 4 ports,3.24,23.25,12.77,10.4
1262,bracketron,ufm210bl,bracketron nav mat ii universal gps friction mount,16.15,flexible rubberized coating contours seamlessly to your dashboard uses braketron temporbond technology,0.55,11.5,9.0,1.5
1263,manfrotto,mbsm3905bc,manfrotto unica v dslr messenger bag,89.99,for dslr tripod and a 15.4  laptop store accessories in organizer pockets shoulder pad,3.2,42.0,30.0,19.0
1264,digipower,tptr47dbl,digipower 4-section tripod dark blue,29.99,maximum height 44  adjustable rubberized feet pan angle 360 degrees,1.77,15.7,3.7,3.5
1265,just wireless,4222,just wireless multi tip car ac phone charger,0.0,universal works with multiple types of cell phones eliminates the need for multiple chargers,0.0,8.0,5.0,2.5
1266,digital innovations,4190200,digital innovations clean dr. dvd laser lens cleaner,9.88,specifically designed to safely clean dvd player laser lenses 10 brush cyclone clean process removes dirt and dust build-up on the lens of a dvd player,0.2,7.0,4.5,0.6
1267,bower,relaunch ss26gr,bower ss26 digital neck strap green,12.98,neoprene wrist strap attaches to the strap connector includes a quick release for easy detachment,0.1,32.0,1.0,0.125
1268,us brown bear,,us brown bear fixed series medium slim fixed mount for 23 - 37 displays,19.99,the simple and easiest flat panel mount solution. simply choose the viewing area and then mount it on the wall. this type of mount fulfills the basic needs of most household and commercial applications. features -medium slim fixed mount. -fixed series collection. -available in black or silver color. -powder coated steel construction. -simple design. -supports virtually all flat panels 23 - 37 and holds up to 99.2lbs 45kgs . -high tech design provides strength and durability. -gradienter assists for quick and easy installation. -assembly required. -manufacture provides 5 years warranty.,3.3,19.38,3.25,2.0
1269,disney,ts500b,disney toy story cd boom box,39.54,multi-function cd boom box great for kids who like toy story,5.55,13.94,10.71,4.92
1270,comprehensive,spjs,comprehensive 1 4 standard stereo phone jack cable end set of 25,35.75,these standard 1 4 stereo phone jacks come equipped with a cable end as well as the comprehensive lifetime warranty. comprehensive offers a lifetime warranty on all products,0.1,0,0,0
1271,verbatim,95166,verbatim 8.5gb 2.4x - 6x dvd r dl 10 packs double layer disc,17.32,dvd r is a cost effective solution for storing editing and small scale distribution of data and audio video files. its high capacity and long data life also make it an excellent storage solution for backup and archiving. verbatim 2.4x double-layer dvd r dl - 10 disc spindle  burns at 2.4x speed  8.5 gb of storage capacity on a single-sided disc--no need to flip the disc  record 4 hours of dvd quality television and video 16 hours of vhs quality,0.52,5.7,5.6,1.0
1272,verbatim,95339,verbatim 4.7gb 16x dvd-r lightscribe 1.2 30 packs cake box disc,19.72,since its foundation verbatim has been at the forefront of the evolution in data storage technology. today verbatim remains one of the most recognizable names in the data storage industry. customer-driven verbatim is known for adding considerable product value - above and beyond its competitors - to established media technology. along with its technological innovations verbatim is recognized universally for its superior manufacturing practices. this commitment to quality translates into consistent product performance and reliability. compatible with lightscribe enabled dvd hardware burn music digital photo albums presentations and home movies directly on your dvd or cd inscribe burn your customized label simplicity no-hassle labels just burn the disc flip it and burn the label,1.3,5.3,5.1,3.4
1273,jvc,haw600rf,jvc haw600rf 900mhz wireless stereo headphones with location feature,47.54,40mm drivers  wide reception range of up to 164 includes 2 aa rechargeable batteries,1.45,12.0,9.75,5.75
1274,draper,101186,draper m1300 premier electric screen  - hdtv 161 diagonal,2049.0,premier electric wall or ceiling projection screen. draper s tab-tensioning system holds the surface taut and wrinkle-free. delivers outstanding picture quality. projected image is framed by standard black masking borders at sides. motor-in-roller is mounted on special vibration insulators so it operates smoothly and silently. features -now available in 16 10 and 15 9 laptop presentation formats.-available with a ceiling trim kit for ceiling recessed installation..-12 black drop is standard..-black case with matching endcaps..-depending on surface available in sizes through 14 x 14 and 12 x 16 230  ntsc and 230  or 20 hdtv. see charts below for details..-with control options it can be operated from any remote location..-custom sizes available..-warranted for one year against defects in materials and workmanship..-plug   accessories section below.. screen material m1300 the perfect matt white diffusing surface. extremely broad light dispersion and spectral uniformity. panoramic viewing angle and true color rendition. recommended for use with any type of projector in rooms where the light level can be reasonably controlled. washable,105.0,0,0,0
1275,draper,200129,draper m2500 premier series c manual screen - 120 diagonal widescreen format,1551.95,manually operated wall screen with tab tensioning system which holds the surface taut and wrinkle-free. delivers outstanding picture quality even with sophisticated data graphics projectors. features -projected image is framed by standard black masking borders at sides -meets the exacting requirements of large-screen video and data projection -viewing surface is raised and lowered by turning a detachable polished aluminum crank handle -black case with matching endcaps -warranted for 1 year against defects in materials and workmanship  installation instructions,69.0,0,0,0
1276,draper,241032,draper flexible matte white ultimate folding portable screen with heavy-duty legs - 15 diagonal ntsc format,1075.0,draper is proud to introduce the new standard in portable folding screens. the ultimate folding screen is the first screen manufactured with 100pct cnc computer numerical controlled components and assembly. the tubing is cnc machined surfaces and borders are cnc cut even rivet and snap holes are cnc placed. no competitive product meets this standard and we did not stop there. couple these advantages with clear anodized 1.25 x .070 wall aluminum tubing and you ve got the precision and stability that allows draper to offer the ultimate folding screen in sizes through 12 x 12 . features -all surfaces front and rear have square corners..-borders are electronically welded using a new pvc material that provides straighter cleaner edges..-standard legs support the ultimate folding screen in a vertical position. the screen may also be tilted for keystone elimination using the heavy-duty legs which offer extra stability with an adjustable gusset..-legs can adjust in 6 increments up to 48 from the floor.-the ultimate folding screen comes packed in draper s heavy-duty molded polyethylene wheeled carrying case..-warranted for one year against defects in materials and workmanship.. screen material flexible matte white pliable matt white material for use in our cinefold portable folding screen. it can be stretched folded and restretched repeatedly without damage. flexible matt white is an excellent matt white material with a gain of 1.0 and a viewing cone of 180 .,88.0,0,0,0
1277,viewsonic,va1932wm,viewsonic value 19  lcd monitor  va1932wm,149.0,energy star-qualified 19  widescreen lcd 16 9 aspect ratio 1440 x 900 resolution,11.0,20.5,17.5,5.88
1278,joby,gp8bhen,joby heavyweight ballhead combo,148.0,load capacity 11.1 lb. removable clip with universal 1 4  universal tripod screw stainless steel camera screw,1.65,14.3,3.4,3.0
1279,bic,bwl3012whi,bic print and peel mailing labels 1 white 30 labels per sheet 12-sheets,6.39,white labels for printers laser and inkjet compatible labels are 1,0.37,12.6,9.3,0.3
1280,,,five star 1-subject wirebound wide rule trend notebook teal 5 pack,9.5,includes 5 notebooks wide rule 10.5,1.042,0,0,0
1281,rolodex,23390,rolodex wood tone desk pad mahogany 24 x 19,37.94,nonskid pads protect furniture smooth writing surface includes solid wood pencil ledge and felt backing,3.25,0,0,0
1282,generic,43225001094,micro plastics 8  black cable ties 100pk,0.0,easy installation for wire routing and management all purpose,0.0,12.187,5.5,0.875
1283,d-link,dhp347av,d-link systems powerline av 4-port switch starter kit dhp-347av,112.0,the powerline av 4-port switch starter kit uses electrical wiring already in your house to provide fast reliable speed up to 200mbps to any room in the house. simply connect the powerline av adapter into an existing outlet and your network router then plug the powerline av 4-port switch into any other room in your house to get instant shared network connections. press the security button on each device to sync up with the other to establish a safe secure connection. with 4 ports you can connect more devices per room and get blazing speeds for hd movies and more.,1.95,10.9,8.2,3.9
1284,sakar,79733ns,iconcepts flat panel speaker system,14.14,perfect for computers digital audio devices and more compatible with nintendo playstation and other game systems,2.0,9.25,8.75,3.6
1285,v7,v7n2c625freds,v7 25 cat6 snagless molded network patch cable red,9.76,stringent specifications for reducing cross talk and system noise maximizes your lan speed great for higher bandwidth applications,0.3,10.0,8.0,1.0
1286,,1510,paperpro compact stapler 15 sheet capacity black gray,11.47,compact stapler two-prong,0.462,0,0,0
1287,mayline,btbf20lcr,mayline brighton series suspended box file pedestal cherry,229.0,accommodates letter and legal size hanging files locking drawers pvc edge banding,59.0,20.0,19.5,15.75
1288,quartet,ct1711,quartet tack   write monthly calendar board black,31.5,dry erase surface modern graphics resists stains,1.0,0,0,0
1289,avery,79369,avery 1  heavy duty binder with ezd ring maroon,5.37,one touch ezd locking rings keep pages secure prevents gapping and misalignment of rings,0.884,11.75,10.25,1.751
1290,tops business forms,7572,tops perforated pads 50 sheet pads dozen,16.94,topbound legal pads chipboard backing perforated pages,6.756,0,0,0
1291,link depot,c6m14ylb,link depot 14 ethernet enhanced cat6 networking cable yellow,3.98,category 6 enhanced 550mhz tia eia 568b.2 utp unshielded twisted pair,1.55,12.0,7.5,1.0
1292,peerless,,peerless slimline universal ultra slim tilt mount for 22 to 40 ultra thin screens weighing up to 60 lb,143.99,the sut632p slimline  universal ultra-thin tilt wall mount is the industry s thinnest tilt wall mount that delivers an aesthetically-pleasing mounting solution with no sacrifice to functionality. its innovative design and use of new technologies merge style with state-of-the-art continuous tilt technology and installer-friendly features. complementing its versatility and functionality is a sleek ultra-low profile design with a high gloss black finish that harmonizes the tv with the mount. the sut632p provides the ultimate combination looks and functionality in an ultra-thin package for the perfect close-to-the-wall tv installation. -holds screen .68  17mm from the wall -screen extends up to 3.88  98mm from the wall allowing for hassle free cable routing. -full motion tilt allows for 15 -5 . -screen adapter simply hooks onto wall plate for quick and easy installation. -vesa  75 100 200 x 100 200 x200 mm compliant. -gloss black finish. -scratch resistant fused epoxy finish. -includes standard hardware hex or phillips for attaching screen to mount.,4.0,9.35,8.75,0.68
1293,national products ltd.,20122,national brand heavyweight reinforced 11  filler paper 100 sheets,7.47,heavyweight for added strength jam-free printing rip-proof film prevents sheets from pulling out,1.041,0,0,0
1294,avery,4020,avery dot matrix printer address labels 1 across 3-1 2 x 1-7 16 white 5000 box,31.69,bright white labels rough texture backing for mailings shipping bar-coding and more,4.1,0,0,0
1295,avery,8165,avery shipping labels with trueblock technology 8-1 2 x 11 white 25 pack,11.94,shipping labels with trueblock technology set of 25,0.732,0,0,0
1296,d-link,dir412,d-link dir-412 mobile broadband wireless router,119.99,plug and play connectivity wireless-n technology for powerful wi-fi wpa wpa2 wireless encryption,1.04,8.86,5.91,2.95
1297,da-lite,27604,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,1609.99,a da-lite polacoat rear projection screen consists of a specially formulated optical coating designed to provide the highest resolution and most accurate color fidelity. this coating is deposited on a transparent glass da-glas or acrylic da-plex substrate. da-lite utilizes a special coating process which chemically bonds the optical layer to the substrate creating a very high degree of adhesion guaranteed not to peel or strip off.,366.0,0,0,0
1298,v7,vasdh4gcl6r1n,v7 4gb sd card class 6 high capacity sdhc 4 gb,7.98,boasting an amazing minimum data transfer ate of 6 mb s the sdhc class 6 is the perfect match for high-resolution cameras and camcorders,0.05,4.25,4.0,0.01
1299,lenovo,41u4820,lenovo thinkpad x60 tablet digitizer pen tether 3pk,13.67,secures digitizer pens to x200 and x60 series tablet laptops prevents accidental loss of digitizer pen handy 3-pack set,0.2,9.6,5.8,2.2
1300,sony,npfh50,sony h series np-fh50 actiforce infolithium battery hybrid,38.0,li-ion 900mah compatible with sony camcorders and digital cameras using the np-fp50 battery,0.9,8.75,4.0,0.5
1301,,2015,advantus grip-a-strip display rail 96  high aluminum finish,41.99,displays up to 24 papers alternative to bulletin boards will not damage artwork,2.5,0,0,0
1302,vivitar,vivrw50,vivitar 50-in-1 card reader writer,11.98,mac and pc compatible 5 slots support 50 memory cards high speed usb 2.0,0.84,5.25,4.5,1.5
1303,ihome,ihm79sc,ihome rechargeable collapsible portable mini multimedia speakers silver,47.55,custom tuned vacuum bass design for low frequency response and sound beyond size twist speakers to expand sound use 2 for stereo or 1 for mono listening,3.7,6.5,5.25,3.0
1304,tribeca,fva2777,tribeca chicago bears 13  sleeve for macbooks,29.98,fits macbooks and 13  laptops shock absorbing neoprene front storage pocket,0.7,14.0,12.4,1.13
1305,tribeca,fva3767,tribeca varsity jacket hard shell case for ipod touch dallas cowboys,18.54,fits 4th generation ipod touch rugged hard shell construction easy access to ports,0.9,7.75,4.0,0.75
1306,allsop,30272,allsop clingo universal hands free mount,34.99,securely holds any phone or mobile media device you own quick and easy installation on your dash or windshield allows multi-axis adjustment for infinite viewing angles,0.45,8.2,4.9,3.3
1307,,,mead spiral bound wide rule notebook - 100 sheets 4 pack,7.0,includes 4 notebooks assorted color covers wide rule,0.74,0,0,0
1308,general electric,54263,ge receptacle with safety shutters white,0.0,replaces damaged or outdated receptacles designed with safety in mind,0.0,4.2,1.8,1.09
1309,general electric,18171,ge 100pk neon cable ties assorted colors,0.0,prevent wires from tangling easy to color-code dimensions 4,0.0,4.48,2.55,1.03
1310,edge,pe158842,edge 256mb 1x256mb pc2100 nonecc unbuffered 184 pin ddr dimm,11.88,highest quality memory available lifetime warranty and double tested to ensure compatibility,0.25,9.0,6.0,3.0
1311,kensington,kmw62348,kensington                                         contour roller notebook case nylon 17-1 2 x 9-1 2 x 13 black,122.29,roller notebook case is endorsed by the american chiropractic association and features an ergonomic contour panel that delivers go-anywhere comfort and protection. snugfit  compartment suspends and wraps laptop for superior protection and security. five-stage curved telescopic handle shifts weight onto the wheels for easier roller navigation while the contour system helps reduce effective case weight by 35pct in those circumstances where the case needs to be carried. outer pockets for water bottle and umbrella and extendable lightweight single handle. ballistic nylon protects against abrasions punctures and tears. for device type notebook global product type cases-notebook material s ballistic nylon carrying method extendable handle shoulder strap.product details -closure zipper. -for device type notebook. -post-consumer recycled content percent 0 pct. -pre-consumer recycled content percent 0 pct. -width 17 1 2 in. -handle color black. -carrying method extendable handle shoulder strap. -wheels feet wheels. -interior color black. -fits notebook size 17.000 in. -height 13 in. -global product type cases-notebook. -material s ballistic nylon. -depth 9 1 2 in. -color s black. -total recycled content percent 0 pct. package includes one roller notebook case.warranty manufacturer s lifetime limited warranty.,10.95,17.5,13.0,9.5
1312,kingston,kvr400x64c3a1g,kingston 1gb ddr pc-3200 400mhz ddr 184 pin desktop memory module,50.92,kingston 1gb ddr pc-3200 400mhz ddr 184-pin desktop memory module 400 mhz speed 184-pin format 64-bit design  clock level 3 3-3-3 requires 2.6 volts -.1,0.1,6.75,2.25,0.5
1313,philips,dlm431317,philips usa 2 silicone cases for iphone 4 black white,16.88,silicone adds grip and protection internal shockstop pattern helps to dissipate shock total access to all controls and dock connector,1.0,2.5,1.5,0.5
1314,koss,ispark,koss earbud stereophone,30.29,specifically designed for use with iphone specialty ear cushion material forms slowly in the ear canal providing a custom fit and maximum isolation,0.15,6.5,5.0,1.75
1315,samsill corporation,sam39403,samsill corporation                                microsoft ladies laptop tote 15-1 2 x 6-1 4 x 13-1 4 black tan,80.29,carry your laptop with you in style. this ladies laptop tote was crafted with the professional business woman in mind. the tote features a padded notebook sleeve to protect laptops and light-colored lining to help find items quickly. the outside pocket has a magnetic closure and accessory panel for phone cards and pens--so you can stay organized even while you re traveling. the zipper pocket on opposite side offers security and quick access. for device type laptop global product type cases-laptop material s 1 680-denier nylon poly carrying method handles.product details -closure magnetic. -inner height 9 3 4 in. -for device type laptop. -post-consumer recycled content percent 0 pct. -pre-consumer recycled content percent 0 pct. -inner width 13 in. -width 15 1 2 in. -inner depth 1 in. -lining padded. -carrying method handles. -interior color tan. -fits notebook size 15.000 in. -height 13 1 4 in. -global product type cases-laptop. -material s 1 680-denier nylon poly. -depth 6 1 4 in. -color s black tan. -total recycled content percent 0 pct. package includes one laptop tote.warranty manufacturer s five-year limited warranty.,3.6667,15.5,13.25,6.25
1316,optoma,blfp230c,optoma bl-fp230c replacement projector lamp for optoma ep749 projector,294.84,lamp life 2000 hour                             fits ep749 tx800 dx205,0.56,6.25,6.25,5.0
1317,case logic,87974,case logic 208 capacity nylon cd dvd wallet,19.99,case logic 208 capacity nylon cd dvd wallet  208 capacity cd wallet patented polypropylene prosleeves  keep dirt away to prevent scratching of delicate cd surface durable nylon material resistant to heat and abrasion convenient carrying handle provides easy portability,2.04,13.25,12.0,2.75
1318,tenba,136902,tenba mixx shoulder bag  large,85.99,tenba mixx shoulder bag  large the perfect bag for your d slr with an extra lens or two flash and other accessories. movable foldable padded dividers create a perfect protective fit for your camera. about a dozen pockets compartments and other storage spaces keep everything organized and readily at-hand. fast-access oversized top flap protects it all. 600 denier exterior layered with ballistic trimtough and weather resistant yet ultra-lightweight oversized cover protects both main and accessory compartments ykk  zippers provide the smoothest strongest zipper closures money can buy. quality name-brand hardware throughoutselected to last stretchy neoprene side pockets great for securely storing phone audio device lens cap or other small items fully lined in ripstop nylontough yet smooth and equipment-friendly beautifully color-matched to exterior trim adjustable padded dividers let you custom-fit the main compartment to your equipment designed to fit d slr body with mounted lens plus extra lens es and accessories laminated mesh pocket holds accessories in clear view metal swivel clipsnot plasticsecure the shoulder strap to the bag supplementary fast deploying rain cover included padded ventilated mesh rear panel for carrying comfort front accessory compartment with pockets for small accessories dual media card pockets with secure protective flap cover,1.8,10.5,9.5,8.5
1319,middle atlantic,pdt2020cns,middle atlantic long 20 outlet single 20 amp circuit thin power strip with cord,188.99,pdt series thin power strips take up minimal space inside a rack and feature a unique design that allows for isolated ground configurability. dual circuit models can be configured to operate as a single circuit and all models are factory assembled for easy installation. pdt series thin power strip specifications termination circuit of outlets overall length j-box cord loc. isolated ground ul listed cord nema 5-20p plug 20 amp 1 20 72 3 4 bottom no 1363 cord nema l5-20p plug 20 amp 1 20 72 3 4 bottom no center 1363 center td tr center table note ul listing- 1363 relocatable power taps file e194316,7.0,0,0,0
1320,belkin,f8e262blk,belkin f8e262-blk waverest series gel mouse pad,14.88,mouse pad  surface provides smooth and precise mouse tracking  revolutionary wave design permits natural movement,0.44,10.8,8.1,2.25
1321,kingston,m25664f50,kingston m25664f50 2gb ddr2-667 200-pin so dimm sdram laptop memory module,38.92,200-pin form factor  667mhz memory speed,0.1,5.76,3.06,0.45
1322,fellowes,91441,fellowes 91441 gel crystal mouse pad with wrist rest,14.88,color purple  non-skid base holds securely to work surface  supports wrist to alleviate pressure points,0.8,8.91,4.77,0.27
1323,mutant,migps14,mutant mig-ps1-4 media yo yo amplified speaker green,14.88,compact size for easy portability built-in rechargeable battery compatible with most mp3 players,1.0,5.0,4.0,2.0
1324,verbatim,97060,verbatim 500gb clln usb portable hard drive 97060,77.84,storage capacity 500gb pocket sized for portability includes nero backitup software,0.7,7.0,5.6,1.9
1325,kensington,k72343us,kensington profit wired full size mouse,19.88,full-size right-handed design for lasting comfort designed to withstand drops and spills usb ps2 connection delivers instant plug and play use,0.9,11.0,10.0,1.5
1326,cobra,xrs9645,cobra 15-band digital radar laser detector,135.25,15-band detection radar detector is undetectable lasereye provides 360 degree detection,1.1,4.9,3.2,1.5
1327,skooba design,890312,skooba design 12 wrap in black,18.99,features -constructed of velcro-compatible tricot exterior scratch-free nylon pack cloth lining. -1 8-inch thick foam interlining throughout to protect against bumps and jolts. -an ideal way to add an extra measure of carrying protection inside luggage carry-ons or other unpadded cases. -layered construction and overlapping self-securing design conforms to contents like a protective cocoon . -hook loop closures at all four corners allows wrap to be rolled and closed in virtually limitless configurations. -dimensions 12 h x 12 w x 0.125 d.,1.0,12.0,12.0,0.125
